Time, SV, BoundaryCompartment, Flux
10.0,1,1,3627.882140316564
20.0,1,1,2635.959065436108
30.0,1,1,1918.0880399187797
40.0,1,1,1397.934078900309
50.0,1,1,1020.5603739341584
60.0,1,1,746.3999471912925
70.0,1,1,546.9323386160047
80.0,1,1,401.5815635924772
90.0,1,1,295.4891818496607
100.0,1,1,217.91470086992445
110.0,1,1,161.08589668516603
120.0,1,1,119.37196791167605
130.0,1,1,88.6884563716223
140.0,1,1,66.06864957636807
150.0,1,1,49.35464187858402
160.0,1,1,36.9744556510353
170.0,1,1,27.781100746159012
180.0,1,1,20.93624464305158
190.0,1,1,15.82603874351151
200.0,1,1,12.00014313719878
210.0,1,1,9.127502772429324
220.0,1,1,6.96423150281981
230.0,1,1,5.33025684369261
240.0,1,1,4.092310681338511
250.0,1,1,3.1515222716703857
260.0,1,1,2.4343532320769397
270.0,1,1,1.8859626572705426
280.0,1,1,1.4653418582585773
290.0,1,1,1.1417397329633476
300.0,1,1,0.8920309681525739
310.0,1,1,0.6987741918396739
320.0,1,1,0.5487759468232253
330.0,1,1,0.4320262119736063
340.0,1,1,0.3409073965734636
350.0,1,1,0.2696050505740594
360.0,1,1,0.21366769432467542
370.0,1,1,0.16967714235081116
380.0,1,1,0.13500089892788317
390.0,1,1,0.10760566721675499
400.0,1,1,0.08591648365954624
410.0,1,1,0.06871000543162356
420.0,1,1,0.055033433228752
430.0,1,1,0.04414272965610612
440.0,1,1,0.035455402527118915
450.0,1,1,0.028514313778592815
460.0,1,1,0.022959858935573375
470.0,1,1,0.018508519905907947
480.0,1,1,0.014936284536662597
490.0,1,1,0.012065793260991508
500.0,1,1,0.00975634824601171
510.0,1,1,0.007896127254145766
520.0,1,1,0.006396100328759528
530.0,1,1,0.005185265267616734
540.0,1,1,0.0042069071905914066
550.0,1,1,0.003415655430055013
560.0,1,1,0.002775162755929586
570.0,1,1,0.002256271538933485
580.0,1,1,0.0018355618107772226
590.0,1,1,0.0014941995185822048
600.0,1,1,0.0012170212638393319
610.0,1,1,9.918057255787218E-4
620.0,1,1,8.086927483385768E-4
630.0,1,1,6.597194531872642E-4
640.0,1,1,5.38449256524096E-4
650.0,1,1,4.3967477808291204E-4
660.0,1,1,3.591796090745374E-4
670.0,1,1,2.935470413345235E-4
680.0,1,1,2.4000631925657129E-4
690.0,1,1,1.9630891524503565E-4
700.0,1,1,1.6062886018738249E-4
710.0,1,1,1.3148237128097096E-4
720.0,1,1,1.0766297907172947E-4
730.0,1,1,8.818911726529079E-5
740.0,1,1,7.226174454547942E-5
750.0,1,1,5.923005000610737E-5
760.0,1,1,4.8563678551809626E-5
770.0,1,1,3.9830219948963004E-5
780.0,1,1,3.26769510238061E-5
790.0,1,1,2.6816017377261382E-5
800.0,1,1,2.2012398853898197E-5
810.0,1,1,1.8074129741729286E-5
820.0,1,1,1.4844346541334876E-5
830.0,1,1,1.2194818096938543E-5
840.0,1,1,1.0020678885608083E-5
850.0,1,1,8.236139469087282E-6
860.0,1,1,6.770991045460047E-6
870.0,1,1,5.567755709475462E-6
880.0,1,1,4.579362053735789E-6
890.0,1,1,3.767248410800321E-6
900.0,1,1,3.099814385945815E-6
910.0,1,1,2.551156195189681E-6
920.0,1,1,2.1000333733683675E-6
930.0,1,1,1.729024192007974E-6
940.0,1,1,1.4238350610626523E-6
950.0,1,1,1.1727356328381612E-6
960.0,1,1,9.660965634725975E-7
970.0,1,1,7.960111457485486E-7
980.0,1,1,6.559854915162895E-7
990.0,1,1,5.406847620916234E-7
1000.0,1,1,4.4572524167368766E-7
