Compartment,No Adj Compartments,Boundary,X (m),Y (m),Z (m),Volume (m^3),Temp (deg C),Water Content (L3w/L3total),Bulk Density (gm/cu m)
1,1,2,-999,-999,-999,-999,-999,-999,-999
2,2,0,0,0,0,1000,20,0.05,1.50E+06
3,2,0,0,0,0.1,1000,20,0.05,1.50E+06
4,2,0,0,0,0.2,1000,20,0.05,1.50E+06
5,2,0,0,0,0.3,1000,20,0.05,1.50E+06
6,2,0,0,0,0.4,1000,20,0.05,1.50E+06
7,2,0,0,0,0.5,1000,20,0.05,1.50E+06
8,2,0,0,0,0.6,1000,20,0.05,1.50E+06
9,2,0,0,0,0.7,1000,20,0.05,1.50E+06
10,2,0,0,0,0.8,1000,20,0.05,1.50E+06
11,2,0,0,0,0.9,1000,20,0.05,1.50E+06
12,1,2,0,0,1,1000,20,0.05,1.50E+06
