Time, SV, BoundaryCompartment, Flux
10.0,1,12,0.0015361558771439718
20.0,1,12,0.011859946340520452
30.0,1,12,0.05037409423486226
40.0,1,12,0.15564797594399557
50.0,1,12,0.3908566153981696
60.0,1,12,0.8458249787704077
70.0,1,12,1.6347068548186852
80.0,1,12,2.889319239875867
90.0,1,12,4.749003279192494
100.0,1,12,7.348432926232375
110.0,1,12,10.80500130079134
120.0,1,12,15.207323669039319
130.0,1,12,20.6060905123203
140.0,1,12,27.008081902980805
150.0,1,12,34.3737035659708
160.0,1,12,42.61799291544488
170.0,1,12,51.614712930888416
180.0,1,12,61.202923128155945
190.0,1,12,71.19529196927806
200.0,1,12,81.38738296011832
210.0,1,12,91.56718907474942
220.0,1,12,101.52428568206298
230.0,1,12,111.05809979952699
240.0,1,12,119.98493469823836
250.0,1,12,128.14352871506782
260.0,1,12,135.3990547177476
270.0,1,12,141.64557503671665
280.0,1,12,146.80705224560887
290.0,1,12,150.8370781020143
300.0,1,12,153.7175224422814
310.0,1,12,155.4563234063404
320.0,1,12,156.084643372079
330.0,1,12,155.65360502788153
340.0,1,12,154.23080268060932
350.0,1,12,151.89675846525873
360.0,1,12,148.7414644307646
370.0,1,12,144.861121849505
380.0,1,12,140.3551603346679
390.0,1,12,135.32359274892218
400.0,1,12,129.86473830308515
410.0,1,12,124.07332614997082
420.0,1,12,118.03897534651173
430.0,1,12,111.84503422307118
440.0,1,12,105.56775273100101
450.0,1,12,99.27575489543534
460.0,1,12,93.02977467424572
470.0,1,12,86.88261688489042
480.0,1,12,80.87930498089935
490.0,1,12,75.05737893535598
500.0,1,12,69.44730895406644
510.0,1,12,64.0729938758215
520.0,1,12,58.952316649864294
530.0,1,12,54.09773298888833
540.0,1,12,49.51687300355397
550.0,1,12,45.21313919797141
560.0,1,12,41.18628754859831
570.0,1,12,37.432981437295474
580.0,1,12,33.94731092521321
590.0,1,12,30.72127222149173
600.0,1,12,27.74520421986308
610.0,1,12,25.00818066000102
620.0,1,12,22.49835784056031
630.0,1,12,20.20327889473494
640.0,1,12,18.110136467596035
650.0,1,12,16.20599623952392
660.0,1,12,14.477984153627887
670.0,1,12,12.913440457775664
680.0,1,12,11.500043792307062
690.0,1,12,10.22590856872145
700.0,1,12,9.079658815837886
710.0,1,12,8.05048153846168
720.0,1,12,7.128162456918547
730.0,1,12,6.303106788667896
740.0,1,12,5.566347507768583
750.0,1,12,4.909543284121876
760.0,1,12,4.3249680699780715
770.0,1,12,3.8054940721872215
780.0,1,12,3.344569629576019
790.0,1,12,2.936193308811718
800.0,1,12,2.574885341254556
810.0,1,12,2.255657348803892
820.0,1,12,1.9739811491056876
830.0,1,12,1.7257572896559377
840.0,1,12,1.5072838358356502
850.0,1,12,1.3152258289742145
860.0,1,12,1.1465857361760161
870.0,1,12,0.9986751327439335
880.0,1,12,0.8690877894054537
890.0,1,12,0.7556742789825162
900.0,1,12,0.6565181694488144
910.0,1,12,0.5699138313340941
920.0,1,12,0.49434585607102166
930.0,1,12,0.4284700571180281
940.0,1,12,0.3710960065948032
950.0,1,12,0.32117104588540335
960.0,1,12,0.27776569843315324
970.0,1,12,0.2400604060920396
980.0,1,12,0.20733350631232278
990.0,1,12,0.17895036560077715
1000.0,1,12,0.1543535846558494
