Time, SV, BoundaryCompartment, Flux
10.0,1,202,5.249401866645097E-22
10.0,2,1,0.055022422087836795
10.0,2,202,1.98766767578943E-15
10.0,3,1,0.0026626187804930372
10.0,3,202,1.8335152949258486E-9
20.0,1,202,1.5718817255311553E-20
20.0,2,1,0.07114986678354726
20.0,2,202,5.0303926120421357E-14
20.0,3,1,0.0038211655209607572
20.0,3,202,3.579481570125384E-8
30.0,1,202,2.3692555717681154E-19
30.0,2,1,0.07505599769770362
30.0,2,202,6.412764126846445E-13
30.0,3,1,0.004189201958064715
30.0,3,202,3.526437680141074E-7
40.0,1,202,2.3967927574122263E-18
40.0,2,1,0.07596772221381631
40.0,2,202,5.490765776954583E-12
40.0,3,1,0.004293846628141466
40.0,3,202,2.3379826840212925E-6
50.0,1,202,1.8307759293266792E-17
50.0,2,1,0.07618042115130728
50.0,2,202,3.55255037117929E-11
50.0,3,1,0.004322148827908119
50.0,3,202,1.173721891610064E-5
60.0,1,202,1.1263237951510464E-16
60.0,2,1,0.07623048207281591
60.0,2,202,1.852770998731803E-10
60.0,3,1,0.004329607998347432
60.0,3,202,4.7601694451620714E-5
70.0,1,202,5.813711415335679E-16
70.0,2,1,0.07624238617355794
70.0,2,202,8.114002665960719E-10
70.0,3,1,0.004331545434034132
70.0,3,202,1.6249379638301676E-4
80.0,1,202,2.589714975254294E-15
80.0,2,1,0.0762452439698253
80.0,2,202,3.069356861735537E-9
80.0,3,1,0.004332044329683173
80.0,3,202,4.803395392139845E-4
90.0,1,202,1.0163120898183718E-14
90.0,2,1,0.07624593576867543
90.0,2,202,1.0238814340121598E-8
90.0,3,1,0.004332172128454843
90.0,3,202,0.0012555358495954906
100.0,1,202,3.5697165921701814E-14
100.0,2,1,0.07624610444234266
100.0,2,202,3.0600046303227416E-8
100.0,3,1,0.004332204764611826
100.0,3,202,0.002948823215631323
110.0,1,202,1.136277923679268E-13
110.0,2,1,0.07624614582489551
110.0,2,202,8.296694339030212E-8
110.0,3,1,0.00433221308465131
110.0,3,202,0.006302993332389494
120.0,1,202,3.311039671621863E-13
120.0,2,1,0.07624615603314358
120.0,2,202,2.0616464953735168E-7
120.0,3,1,0.004332215204031902
120.0,3,202,0.012389360636970867
130.0,1,202,8.906352713203757E-13
130.0,2,1,0.07624615856346062
130.0,2,202,4.7348922426648745E-7
130.0,3,1,0.004332215743825538
130.0,3,202,0.022591098872881927
140.0,1,202,2.2271166408302324E-12
140.0,2,1,0.07624615919335098
140.0,2,202,1.0122372251414063E-6
140.0,3,1,0.004332215881348892
140.0,3,202,0.03849785515624913
150.0,1,202,5.208342846431879E-12
150.0,2,1,0.07624615935076265
150.0,2,202,2.0266488509524675E-6
150.0,3,1,0.004332215916407312
150.0,3,202,0.061708218774617525
160.0,1,202,1.145046491685644E-11
160.0,2,1,0.07624615939023896
160.0,2,202,3.820308455008389E-6
160.0,3,1,0.004332215925352141
160.0,3,202,0.09356652534362705
170.0,1,202,2.3772993057113947E-11
170.0,2,1,0.07624615940017088
170.0,2,202,6.811828260761014E-6
170.0,3,1,0.0043322159276366
170.0,3,202,0.13488712928630875
180.0,1,202,4.679737110107994E-11
180.0,2,1,0.07624615940267705
180.0,2,202,1.1536417946585123E-5
180.0,3,1,0.004332215928220681
180.0,3,202,0.18573166400635455
190.0,1,202,8.765681654797595E-11
190.0,2,1,0.07624615940331123
190.0,2,202,1.8626590600084715E-5
190.0,3,1,0.004332215928370191
190.0,3,202,0.24529705007403962
200.0,1,202,1.5673591419489414E-10
200.0,2,1,0.0762461594034721
200.0,2,202,2.8768215810391672E-5
200.0,3,1,0.004332215928408511
200.0,3,202,0.3119460784224318
