Compartment,First SV,Second SV,Rate Constant (/day) wrt First SV
2,1,2,-0.1
3,1,2,-0.1
4,1,2,-0.1
5,1,2,-0.1
6,1,2,-0.1
7,1,2,-0.1
8,1,2,-0.1
9,1,2,-0.1
10,1,2,-0.1
11,1,2,-0.1
12,1,2,-0.1
13,1,2,-0.1
14,1,2,-0.1
15,1,2,-0.1
16,1,2,-0.1
17,1,2,-0.1
18,1,2,-0.1
19,1,2,-0.1
20,1,2,-0.1
21,1,2,-0.1
22,1,2,-0.1
23,1,2,-0.1
24,1,2,-0.1
25,1,2,-0.1
26,1,2,-0.1
27,1,2,-0.1
28,1,2,-0.1
29,1,2,-0.1
30,1,2,-0.1
31,1,2,-0.1
32,1,2,-0.1
33,1,2,-0.1
34,1,2,-0.1
35,1,2,-0.1
36,1,2,-0.1
37,1,2,-0.1
38,1,2,-0.1
39,1,2,-0.1
40,1,2,-0.1
41,1,2,-0.1
42,1,2,-0.1
43,1,2,-0.1
44,1,2,-0.1
45,1,2,-0.1
46,1,2,-0.1
47,1,2,-0.1
48,1,2,-0.1
49,1,2,-0.1
50,1,2,-0.1
51,1,2,-0.1
52,1,2,-0.1
53,1,2,-0.1
54,1,2,-0.1
55,1,2,-0.1
56,1,2,-0.1
57,1,2,-0.1
58,1,2,-0.1
59,1,2,-0.1
60,1,2,-0.1
61,1,2,-0.1
62,1,2,-0.1
63,1,2,-0.1
64,1,2,-0.1
65,1,2,-0.1
66,1,2,-0.1
67,1,2,-0.1
68,1,2,-0.1
69,1,2,-0.1
70,1,2,-0.1
71,1,2,-0.1
72,1,2,-0.1
73,1,2,-0.1
74,1,2,-0.1
75,1,2,-0.1
76,1,2,-0.1
77,1,2,-0.1
78,1,2,-0.1
79,1,2,-0.1
80,1,2,-0.1
81,1,2,-0.1
82,1,2,-0.1
83,1,2,-0.1
84,1,2,-0.1
85,1,2,-0.1
86,1,2,-0.1
87,1,2,-0.1
88,1,2,-0.1
89,1,2,-0.1
90,1,2,-0.1
91,1,2,-0.1
92,1,2,-0.1
93,1,2,-0.1
94,1,2,-0.1
95,1,2,-0.1
96,1,2,-0.1
97,1,2,-0.1
98,1,2,-0.1
99,1,2,-0.1
100,1,2,-0.1
101,1,2,-0.1
102,1,2,-0.1
103,1,2,-0.1
104,1,2,-0.1
105,1,2,-0.1
106,1,2,-0.1
107,1,2,-0.1
108,1,2,-0.1
109,1,2,-0.1
110,1,2,-0.1
111,1,2,-0.1
112,1,2,-0.1
113,1,2,-0.1
114,1,2,-0.1
115,1,2,-0.1
116,1,2,-0.1
117,1,2,-0.1
118,1,2,-0.1
119,1,2,-0.1
120,1,2,-0.1
121,1,2,-0.1
122,1,2,-0.1
123,1,2,-0.1
124,1,2,-0.1
125,1,2,-0.1
126,1,2,-0.1
127,1,2,-0.1
128,1,2,-0.1
129,1,2,-0.1
130,1,2,-0.1
131,1,2,-0.1
132,1,2,-0.1
133,1,2,-0.1
134,1,2,-0.1
135,1,2,-0.1
136,1,2,-0.1
137,1,2,-0.1
138,1,2,-0.1
139,1,2,-0.1
140,1,2,-0.1
141,1,2,-0.1
142,1,2,-0.1
143,1,2,-0.1
144,1,2,-0.1
145,1,2,-0.1
146,1,2,-0.1
147,1,2,-0.1
148,1,2,-0.1
149,1,2,-0.1
150,1,2,-0.1
151,1,2,-0.1
152,1,2,-0.1
153,1,2,-0.1
154,1,2,-0.1
155,1,2,-0.1
156,1,2,-0.1
157,1,2,-0.1
158,1,2,-0.1
159,1,2,-0.1
160,1,2,-0.1
161,1,2,-0.1
162,1,2,-0.1
163,1,2,-0.1
164,1,2,-0.1
165,1,2,-0.1
166,1,2,-0.1
167,1,2,-0.1
168,1,2,-0.1
169,1,2,-0.1
170,1,2,-0.1
171,1,2,-0.1
172,1,2,-0.1
173,1,2,-0.1
174,1,2,-0.1
175,1,2,-0.1
176,1,2,-0.1
177,1,2,-0.1
178,1,2,-0.1
179,1,2,-0.1
180,1,2,-0.1
181,1,2,-0.1
182,1,2,-0.1
183,1,2,-0.1
184,1,2,-0.1
185,1,2,-0.1
186,1,2,-0.1
187,1,2,-0.1
188,1,2,-0.1
189,1,2,-0.1
190,1,2,-0.1
191,1,2,-0.1
192,1,2,-0.1
193,1,2,-0.1
194,1,2,-0.1
195,1,2,-0.1
196,1,2,-0.1
197,1,2,-0.1
198,1,2,-0.1
199,1,2,-0.1
200,1,2,-0.1
201,1,2,-0.1
2,2,1,0.1
3,2,1,0.1
4,2,1,0.1
5,2,1,0.1
6,2,1,0.1
7,2,1,0.1
8,2,1,0.1
9,2,1,0.1
10,2,1,0.1
11,2,1,0.1
12,2,1,0.1
13,2,1,0.1
14,2,1,0.1
15,2,1,0.1
16,2,1,0.1
17,2,1,0.1
18,2,1,0.1
19,2,1,0.1
20,2,1,0.1
21,2,1,0.1
22,2,1,0.1
23,2,1,0.1
24,2,1,0.1
25,2,1,0.1
26,2,1,0.1
27,2,1,0.1
28,2,1,0.1
29,2,1,0.1
30,2,1,0.1
31,2,1,0.1
32,2,1,0.1
33,2,1,0.1
34,2,1,0.1
35,2,1,0.1
36,2,1,0.1
37,2,1,0.1
38,2,1,0.1
39,2,1,0.1
40,2,1,0.1
41,2,1,0.1
42,2,1,0.1
43,2,1,0.1
44,2,1,0.1
45,2,1,0.1
46,2,1,0.1
47,2,1,0.1
48,2,1,0.1
49,2,1,0.1
50,2,1,0.1
51,2,1,0.1
52,2,1,0.1
53,2,1,0.1
54,2,1,0.1
55,2,1,0.1
56,2,1,0.1
57,2,1,0.1
58,2,1,0.1
59,2,1,0.1
60,2,1,0.1
61,2,1,0.1
62,2,1,0.1
63,2,1,0.1
64,2,1,0.1
65,2,1,0.1
66,2,1,0.1
67,2,1,0.1
68,2,1,0.1
69,2,1,0.1
70,2,1,0.1
71,2,1,0.1
72,2,1,0.1
73,2,1,0.1
74,2,1,0.1
75,2,1,0.1
76,2,1,0.1
77,2,1,0.1
78,2,1,0.1
79,2,1,0.1
80,2,1,0.1
81,2,1,0.1
82,2,1,0.1
83,2,1,0.1
84,2,1,0.1
85,2,1,0.1
86,2,1,0.1
87,2,1,0.1
88,2,1,0.1
89,2,1,0.1
90,2,1,0.1
91,2,1,0.1
92,2,1,0.1
93,2,1,0.1
94,2,1,0.1
95,2,1,0.1
96,2,1,0.1
97,2,1,0.1
98,2,1,0.1
99,2,1,0.1
100,2,1,0.1
101,2,1,0.1
102,2,1,0.1
103,2,1,0.1
104,2,1,0.1
105,2,1,0.1
106,2,1,0.1
107,2,1,0.1
108,2,1,0.1
109,2,1,0.1
110,2,1,0.1
111,2,1,0.1
112,2,1,0.1
113,2,1,0.1
114,2,1,0.1
115,2,1,0.1
116,2,1,0.1
117,2,1,0.1
118,2,1,0.1
119,2,1,0.1
