SV,Compartment,Boundary Value
1,1,1
1,2,-999
1,3,-999
1,4,-999
1,5,-999
1,6,-999
1,7,-999
1,8,-999
1,9,-999
1,10,-999
1,11,-999
1,12,-999
1,13,-999
1,14,-999
1,15,-999
1,16,-999
1,17,-999
1,18,-999
1,19,-999
1,20,-999
1,21,-999
1,22,-999
1,23,-999
1,24,-999
1,25,-999
1,26,-999
1,27,-999
1,28,-999
1,29,-999
1,30,-999
1,31,-999
1,32,-999
1,33,-999
1,34,-999
1,35,-999
1,36,-999
1,37,-999
1,38,-999
1,39,-999
1,40,-999
1,41,-999
1,42,-999
1,43,-999
1,44,-999
1,45,-999
1,46,-999
1,47,-999
1,48,-999
1,49,-999
1,50,-999
1,51,-999
1,52,-999
1,53,-999
1,54,-999
1,55,-999
1,56,-999
1,57,-999
1,58,-999
1,59,-999
1,60,-999
1,61,-999
1,62,-999
1,63,-999
1,64,-999
1,65,-999
1,66,-999
1,67,-999
1,68,-999
1,69,-999
1,70,-999
1,71,-999
1,72,-999
1,73,-999
1,74,-999
1,75,-999
1,76,-999
1,77,-999
1,78,-999
1,79,-999
1,80,-999
1,81,-999
1,82,-999
1,83,-999
1,84,-999
1,85,-999
1,86,-999
1,87,-999
1,88,-999
1,89,-999
1,90,-999
1,91,-999
1,92,-999
1,93,-999
1,94,-999
1,95,-999
1,96,-999
1,97,-999
1,98,-999
1,99,-999
1,100,-999
1,101,-999
1,102,-999
1,103,-999
1,104,-999
1,105,-999
1,106,-999
1,107,-999
1,108,-999
1,109,-999
1,110,-999
1,111,-999
1,112,-999
1,113,-999
1,114,-999
1,115,-999
1,116,-999
1,117,-999
1,118,-999
1,119,-999
1,120,-999
1,121,-999
1,122,-999
1,123,-999
1,124,-999
1,125,-999
1,126,-999
1,127,-999
1,128,-999
1,129,-999
1,130,-999
1,131,-999
1,132,-999
1,133,-999
1,134,-999
1,135,-999
1,136,-999
1,137,-999
1,138,-999
1,139,-999
1,140,-999
1,141,-999
1,142,-999
1,143,-999
1,144,-999
1,145,-999
1,146,-999
1,147,-999
1,148,-999
1,149,-999
1,150,-999
1,151,-999
1,152,-999
1,153,-999
1,154,-999
1,155,-999
1,156,-999
1,157,-999
1,158,-999
1,159,-999
1,160,-999
1,161,-999
1,162,-999
1,163,-999
1,164,-999
1,165,-999
1,166,-999
1,167,-999
1,168,-999
1,169,-999
1,170,-999
1,171,-999
1,172,-999
1,173,-999
1,174,-999
1,175,-999
1,176,-999
1,177,-999
1,178,-999
1,179,-999
1,180,-999
1,181,-999
1,182,-999
1,183,-999
1,184,-999
1,185,-999
1,186,-999
1,187,-999
1,188,-999
1,189,-999
1,190,-999
1,191,-999
1,192,-999
1,193,-999
1,194,-999
1,195,-999
1,196,-999
1,197,-999
1,198,-999
1,199,-999
1,200,-999
1,201,-999
1,202,0
2,1,0
2,2,-999
2,3,-999
2,4,-999
2,5,-999
2,6,-999
2,7,-999
2,8,-999
2,9,-999
2,10,-999
2,11,-999
2,12,-999
2,13,-999
2,14,-999
2,15,-999
2,16,-999
2,17,-999
2,18,-999
2,19,-999
2,20,-999
2,21,-999
2,22,-999
2,23,-999
2,24,-999
2,25,-999
2,26,-999
2,27,-999
2,28,-999
2,29,-999
2,30,-999
2,31,-999
2,32,-999
2,33,-999
2,34,-999
2,35,-999
2,36,-999
2,37,-999
2,38,-999
2,39,-999
2,40,-999
2,41,-999
2,42,-999
2,43,-999
2,44,-999
2,45,-999
2,46,-999
2,47,-999
2,48,-999
2,49,-999
2,50,-999
2,51,-999
2,52,-999
2,53,-999
2,54,-999
2,55,-999
2,56,-999
2,57,-999
2,58,-999
2,59,-999
2,60,-999
2,61,-999
2,62,-999
2,63,-999
2,64,-999
2,65,-999
2,66,-999
2,67,-999
2,68,-999
2,69,-999
2,70,-999
2,71,-999
2,72,-999
2,73,-999
2,74,-999
2,75,-999
2,76,-999
2,77,-999
2,78,-999
2,79,-999
2,80,-999
2,81,-999
2,82,-999
2,83,-999
2,84,-999
2,85,-999
2,86,-999
2,87,-999
2,88,-999
2,89,-999
2,90,-999
2,91,-999
2,92,-999
2,93,-999
2,94,-999
2,95,-999
2,96,-999
2,97,-999
2,98,-999
2,99,-999
2,100,-999
2,101,-999
2,102,-999
2,103,-999
2,104,-999
2,105,-999
2,106,-999
2,107,-999
2,108,-999
2,109,-999
2,110,-999
2,111,-999
2,112,-999
2,113,-999
2,114,-999
2,115,-999
2,116,-999
2,117,-999
2,118,-999
2,119,-999
2,120,-999
2,121,-999
2,122,-999
2,123,-999
2,124,-999
2,125,-999
2,126,-999
2,127,-999
2,128,-999
2,129,-999
2,130,-999
2,131,-999
2,132,-999
2,133,-999
2,134,-999
2,135,-999
2,136,-999
2,137,-999
2,138,-999
2,139,-999
2,140,-999
2,141,-999
2,142,-999
2,143,-999
2,144,-999
2,145,-999
2,146,-999
2,147,-999
2,148,-999
2,149,-999
2,150,-999
2,151,-999
2,152,-999
2,153,-999
2,154,-999
2,155,-999
2,156,-999
2,157,-999
2,158,-999
2,159,-999
2,160,-999
2,161,-999
2,162,-999
2,163,-999
2,164,-999
2,165,-999
2,166,-999
2,167,-999
2,168,-999
2,169,-999
2,170,-999
2,171,-999
2,172,-999
2,173,-999
2,174,-999
2,175,-999
2,176,-999
2,177,-999
2,178,-999
2,179,-999
2,180,-999
2,181,-999
2,182,-999
2,183,-999
2,184,-999
2,185,-999
2,186,-999
2,187,-999
2,188,-999
2,189,-999
2,190,-999
2,191,-999
2,192,-999
2,193,-999
2,194,-999
2,195,-999
2,196,-999
2,197,-999
2,198,-999
2,199,-999
2,200,-999
2,201,-999
2,202,0
3,1,0
3,2,-999
3,3,-999
3,4,-999
3,5,-999
3,6,-999
3,7,-999
3,8,-999
3,9,-999
3,10,-999
3,11,-999
3,12,-999
3,13,-999
3,14,-999
3,15,-999
3,16,-999
3,17,-999
3,18,-999
3,19,-999
3,20,-999
3,21,-999
3,22,-999
3,23,-999
3,24,-999
3,25,-999
3,26,-999
3,27,-999
3,28,-999
3,29,-999
3,30,-999
3,31,-999
3,32,-999
3,33,-999
3,34,-999
3,35,-999
3,36,-999
3,37,-999
3,38,-999
3,39,-999
3,40,-999
3,41,-999
3,42,-999
3,43,-999
3,44,-999
3,45,-999
3,46,-999
3,47,-999
3,48,-999
3,49,-999
3,50,-999
3,51,-999
3,52,-999
3,53,-999
3,54,-999
3,55,-999
3,56,-999
3,57,-999
3,58,-999
3,59,-999
3,60,-999
3,61,-999
3,62,-999
3,63,-999
3,64,-999
3,65,-999
3,66,-999
3,67,-999
3,68,-999
3,69,-999
3,70,-999
3,71,-999
3,72,-999
3,73,-999
3,74,-999
3,75,-999
3,76,-999
3,77,-999
3,78,-999
3,79,-999
3,80,-999
3,81,-999
3,82,-999
3,83,-999
3,84,-999
3,85,-999
3,86,-999
3,87,-999
3,88,-999
3,89,-999
3,90,-999
3,91,-999
3,92,-999
3,93,-999
3,94,-999
3,95,-999
3,96,-999
3,97,-999
3,98,-999
3,99,-999
3,100,-999
3,101,-999
3,102,-999
3,103,-999
3,104,-999
3,105,-999
3,106,-999
3,107,-999
3,108,-999
3,109,-999
3,110,-999
3,111,-999
3,112,-999
3,113,-999
3,114,-999
3,115,-999
3,116,-999
3,117,-999
3,118,-999
3,119,-999
3,120,-999
3,121,-999
3,122,-999
3,123,-999
3,124,-999
3,125,-999
3,126,-999
3,127,-999
3,128,-999
3,129,-999
3,130,-999
3,131,-999
3,132,-999
3,133,-999
3,134,-999
3,135,-999
3,136,-999
3,137,-999
3,138,-999
3,139,-999
3,140,-999
3,141,-999
3,142,-999
3,143,-999
3,144,-999
3,145,-999
3,146,-999
3,147,-999
3,148,-999
3,149,-999
3,150,-999
3,151,-999
3,152,-999
3,153,-999
3,154,-999
3,155,-999
3,156,-999
3,157,-999
3,158,-999
3,159,-999
3,160,-999
3,161,-999
3,162,-999
3,163,-999
3,164,-999
3,165,-999
3,166,-999
