State Var,Compartment,Linear Kd (cu m-water/gm),Temp Coeff
1,1,-999,-999
1,2,0.00E+00,1.024
1,3,0.00E+00,1.024
1,4,0.00E+00,1.024
1,5,0.00E+00,1.024
1,6,0.00E+00,1.024
1,7,0.00E+00,1.024
1,8,0.00E+00,1.024
1,9,0.00E+00,1.024
1,10,0.00E+00,1.024
1,11,0.00E+00,1.024
1,12,0.00E+00,1.024
1,13,-999,-999
1,14,0.00E+00,1.024
1,15,0.00E+00,1.024
1,16,0.00E+00,1.024
1,17,0.00E+00,1.024
1,18,0.00E+00,1.024
1,19,0.00E+00,1.024
1,20,0.00E+00,1.024
1,21,0.00E+00,1.024
1,22,0.00E+00,1.024
1,23,0.00E+00,1.024
1,24,0.00E+00,1.024
1,25,0.00E+00,1.024
1,26,0.00E+00,1.024
1,27,0.00E+00,1.024
1,28,0.00E+00,1.024
1,29,0.00E+00,1.024
1,30,0.00E+00,1.024
1,31,0.00E+00,1.024
1,32,0.00E+00,1.024
1,33,0.00E+00,1.024
1,34,0.00E+00,1.024
1,35,0.00E+00,1.024
1,36,-999,-999
1,37,-999,-999
1,38,-999,-999
1,39,0.00E+00,1.024
1,40,0.00E+00,1.024
1,41,0.00E+00,1.024
1,42,0.00E+00,1.024
1,43,0.00E+00,1.024
1,44,0.00E+00,1.024
1,45,0.00E+00,1.024
1,46,0.00E+00,1.024
1,47,0.00E+00,1.024
1,48,-999,-999
1,49,0.00E+00,1.024
1,50,0.00E+00,1.024
1,51,0.00E+00,1.024
1,52,0.00E+00,1.024
1,53,0.00E+00,1.024
1,54,0.00E+00,1.024
1,55,-999,-999
1,56,-999,-999
2,1,-999,-999
2,2,0.00E+00,1.024
2,3,0.00E+00,1.024
2,4,0.00E+00,1.024
2,5,0.00E+00,1.024
2,6,0.00E+00,1.024
2,7,0.00E+00,1.024
2,8,0.00E+00,1.024
2,9,0.00E+00,1.024
2,10,0.00E+00,1.024
2,11,0.00E+00,1.024
2,12,0.00E+00,1.024
2,13,-999,-999
2,14,0.00E+00,1.024
2,15,0.00E+00,1.024
2,16,0.00E+00,1.024
2,17,0.00E+00,1.024
2,18,0.00E+00,1.024
2,19,0.00E+00,1.024
2,20,0.00E+00,1.024
2,21,0.00E+00,1.024
2,22,0.00E+00,1.024
2,23,0.00E+00,1.024
2,24,0.00E+00,1.024
2,25,0.00E+00,1.024
2,26,0.00E+00,1.024
2,27,0.00E+00,1.024
2,28,0.00E+00,1.024
2,29,0.00E+00,1.024
2,30,0.00E+00,1.024
2,31,0.00E+00,1.024
2,32,0.00E+00,1.024
2,33,0.00E+00,1.024
2,34,0.00E+00,1.024
2,35,0.00E+00,1.024
2,36,-999,-999
2,37,-999,-999
2,38,-999,-999
2,39,0.00E+00,1.024
2,40,0.00E+00,1.024
2,41,0.00E+00,1.024
2,42,0.00E+00,1.024
2,43,0.00E+00,1.024
2,44,0.00E+00,1.024
2,45,0.00E+00,1.024
2,46,0.00E+00,1.024
2,47,0.00E+00,1.024
2,48,-999,-999
2,49,0.00E+00,1.024
2,50,0.00E+00,1.024
2,51,0.00E+00,1.024
2,52,0.00E+00,1.024
2,53,0.00E+00,1.024
2,54,0.00E+00,1.024
2,55,-999,-999
2,56,-999,-999
