Time, SV, BoundaryCompartment, Flux
10.0,1,36,0.001246337593903163
10.0,1,38,2.0029284707692283
10.0,1,37,0.008174183343628114
10.0,1,48,170.98368032142716
10.0,1,56,34301.45564973925
10.0,1,55,2819.8249405838765
10.0,2,36,8.246005266697112E-4
10.0,2,38,0.38944339810888806
10.0,2,48,29.78598852707172
10.0,2,56,3.217658519266133E-5
10.0,2,55,1.5198886147169831E-5
20.0,1,36,0.004881755008000348
20.0,1,38,0.4025886897712756
20.0,1,37,0.0024901500062611643
20.0,1,48,38.519817086539014
20.0,1,56,2919.953236409992
20.0,1,55,278.62669151725663
20.0,2,36,0.0033034714871719613
20.0,2,38,0.09697346622976469
20.0,2,48,7.724059169771474
20.0,2,56,3.0696382631929967E-6
20.0,2,55,1.593526834883849E-6
30.0,1,36,0.010777680822412282
30.0,1,38,0.20781410991347382
30.0,1,37,0.001107727305487126
30.0,1,48,18.582110433653167
30.0,1,56,280.7315620479163
30.0,1,55,26.830575129488015
30.0,2,36,0.0074256096784312145
30.0,2,38,0.01697323402766298
30.0,2,48,1.3764411429531904
30.0,2,56,2.957699583673165E-7
30.0,2,55,1.5424111761909393E-7
40.0,1,36,0.01777618774837742
40.0,1,38,0.28378368174110497
40.0,1,37,0.0012508208408471846
40.0,1,48,24.145868971954126
40.0,1,56,35.516736849865076
40.0,1,55,3.4098786012546567
40.0,2,36,0.012423925763753901
40.0,2,38,0.002730059603479893
40.0,2,48,0.22266490391888794
40.0,2,56,3.676375462274252E-8
40.0,2,55,1.899750562804304E-8
50.0,1,36,0.024528793069264643
50.0,1,38,0.4053182230261131
50.0,1,37,0.0017438043058902095
50.0,1,48,34.32195333529921
50.0,1,56,6.900072234303197
50.0,1,55,0.8105653952416523
50.0,2,36,0.017337761916504962
50.0,2,38,4.7471957857672344E-4
50.0,2,48,0.0385779851013951
50.0,2,56,7.354804080062566E-9
50.0,2,55,4.000343860444768E-9
60.0,1,36,0.030093280626351252
60.0,1,38,0.532451685859178
60.0,1,37,0.0022999689128400066
60.0,1,48,45.138297914836166
60.0,1,56,2.0813859132100876
60.0,1,55,0.4426351161810149
60.0,2,36,0.021457975059770863
60.0,2,38,1.0191798355333114E-4
60.0,2,48,0.008231814117397958
60.0,2,56,2.6850725601138233E-9
60.0,2,55,1.770706440286757E-9
70.0,1,36,0.034085406824788486
70.0,1,38,0.6550506312594073
70.0,1,37,0.0028459353962980733
70.0,1,48,55.60798024934684
70.0,1,56,0.9111352293700219
70.0,1,55,0.4018049382399231
70.0,2,36,0.024467039550644894
70.0,2,38,2.787410990463119E-5
70.0,2,48,0.0022756571165195257
70.0,2,56,1.6909078650110522E-9
70.0,2,55,1.388492498383498E-9
80.0,1,36,0.036550424635181156
80.0,1,38,0.7697040130450178
80.0,1,37,0.003359539081200121
80.0,1,48,65.41158188231624
80.0,1,56,0.5732184638120295
80.0,1,55,0.42985568987765554
80.0,2,36,0.026366551351242863
80.0,2,38,9.044101060061082E-6
80.0,2,48,7.861080334903279E-4
80.0,2,56,1.5059617595344384E-9
80.0,2,55,1.398439179783903E-9
90.0,1,36,0.03775933427591871
90.0,1,38,0.8753631562202097
90.0,1,37,0.0038340480091092325
90.0,1,48,74.45116703481543
90.0,1,56,0.48417375778352834
90.0,1,55,0.47487417793998293
90.0,2,36,0.027335952003147534
90.0,2,38,3.2464276066261297E-6
90.0,2,48,3.3741353191053526E-4
90.0,2,56,1.5517226250933946E-9
90.0,2,55,1.513091361777894E-9
100.0,1,36,0.03804514999557894
100.0,1,38,0.971921496419973
100.0,1,37,0.004268264157928314
100.0,1,48,82.71462884898524
100.0,1,56,0.47802981405568107
100.0,1,55,0.5224653211100265
100.0,2,36,0.027611588318667484
100.0,2,38,1.2691859102391544E-6
100.0,2,48,1.906001804975948E-4
100.0,2,56,1.6663529699442538E-9
100.0,2,55,1.65325266427435E-9
110.0,1,36,0.03770947719707968
110.0,1,38,1.059621960819606
110.0,1,37,0.0046630059137741505
110.0,1,48,90.22160826146008
110.0,1,56,0.4994332352101323
110.0,1,55,0.5680028074310631
110.0,2,36,0.027414106093683978
110.0,2,38,5.636084581135564E-7
110.0,2,48,1.4329028160906703E-4
110.0,2,56,1.7965492138451079E-9
110.0,2,55,1.7932197407917643E-9
120.0,1,36,0.03698651829755842
120.0,1,38,1.1388259334847304
120.0,1,37,0.005019789299634311
120.0,1,48,97.0025725579154
120.0,1,56,0.5287145085898516
120.0,1,55,0.6099842921588976
120.0,2,36,0.026918154404730887
120.0,2,38,3.08241199277349E-7
120.0,2,48,1.3063711805728616E-4
120.0,2,56,1.923755351217227E-9
120.0,2,55,1.9243045777483625E-9
130.0,1,36,0.03604095262699007
130.0,1,38,1.2099372032270312
130.0,1,37,0.0053403775063981486
130.0,1,48,103.09185136208312
130.0,1,56,0.5587380990058481
130.0,1,55,0.6480010778200074
