Compartment,First SV,Second SV,Rate Constant (/day) wrt First SV
2,1,2,1.01
2,2,1,-1.01
2,2,1,1.11E-01
2,1,2,-1.11E-01
3,1,2,1.01
3,2,1,-1.01
3,2,1,1.11E-01
3,1,2,-1.11E-01
4,1,2,1.01
4,2,1,-1.01
4,2,1,1.11E-01
4,1,2,-1.11E-01
5,1,2,1.01
5,2,1,-1.01
5,2,1,1.11E-01
5,1,2,-1.11E-01
6,1,2,1.01
6,2,1,-1.01
6,2,1,1.11E-01
6,1,2,-1.11E-01
7,1,2,1.01
7,2,1,-1.01
7,2,1,1.11E-01
7,1,2,-1.11E-01
8,1,2,1.01
8,2,1,-1.01
8,2,1,1.11E-01
8,1,2,-1.11E-01
9,1,2,1.01
9,2,1,-1.01
9,2,1,1.11E-01
9,1,2,-1.11E-01
10,1,2,1.01
10,2,1,-1.01
10,2,1,1.11E-01
10,1,2,-1.11E-01
11,1,2,1.01
11,2,1,-1.01
11,2,1,1.11E-01
11,1,2,-1.11E-01
14,1,2,1.01
14,2,1,-1.01
14,2,1,1.11E-01
14,1,2,-1.11E-01
15,1,2,1.01
15,2,1,-1.01
15,2,1,1.11E-01
15,1,2,-1.11E-01
16,1,2,1.01
16,2,1,-1.01
16,2,1,1.11E-01
16,1,2,-1.11E-01
17,1,2,1.01
17,2,1,-1.01
17,2,1,1.11E-01
17,1,2,-1.11E-01
18,1,2,1.01
18,2,1,-1.01
18,2,1,1.11E-01
18,1,2,-1.11E-01
19,1,2,1.01
19,2,1,-1.01
19,2,1,1.11E-01
19,1,2,-1.11E-01
20,1,2,1.01
20,2,1,-1.01
20,2,1,1.11E-01
20,1,2,-1.11E-01
21,1,2,1.01
21,2,1,-1.01
21,2,1,1.11E-01
21,1,2,-1.11E-01
22,1,2,1.01
22,2,1,-1.01
22,2,1,1.11E-01
22,1,2,-1.11E-01
23,1,2,1.01
23,2,1,-1.01
23,2,1,1.11E-01
23,1,2,-1.11E-01
12,1,2,1.02
12,2,1,-1.02
12,2,1,7.41E-01
12,1,2,-7.41E-01
24,1,2,1.02
24,2,1,-1.02
24,2,1,7.41E-01
24,1,2,-7.41E-01
26,1,2,1.02
26,2,1,-1.02
26,2,1,7.41E-01
26,1,2,-7.41E-01
27,1,2,1.02
27,2,1,-1.02
27,2,1,7.41E-01
27,1,2,-7.41E-01
28,1,2,1.02
28,2,1,-1.02
28,2,1,7.41E-01
28,1,2,-7.41E-01
29,1,2,1.02
29,2,1,-1.02
29,2,1,7.41E-01
29,1,2,-7.41E-01
30,1,2,1.02
30,2,1,-1.02
30,2,1,7.41E-01
30,1,2,-7.41E-01
31,1,2,1.02
31,2,1,-1.02
31,2,1,7.41E-01
31,1,2,-7.41E-01
32,1,2,1.02
32,2,1,-1.02
32,2,1,7.41E-01
32,1,2,-7.41E-01
33,1,2,1.02
33,2,1,-1.02
33,2,1,7.41E-01
33,1,2,-7.41E-01
34,1,2,1.02
34,2,1,-1.02
34,2,1,7.41E-01
34,1,2,-7.41E-01
35,1,2,1.02
35,2,1,-1.02
35,2,1,7.41E-01
35,1,2,-7.41E-01
25,1,2,1.03
25,2,1,-1.03
25,2,1,1.11E-05
25,1,2,-1.11E-05
39,1,2,1.03
39,2,1,-1.03
39,2,1,1.11E-05
39,1,2,-1.11E-05
40,1,2,1.03
40,2,1,-1.03
40,2,1,1.11E-05
40,1,2,-1.11E-05
41,1,2,1.03
41,2,1,-1.03
41,2,1,1.11E-05
41,1,2,-1.11E-05
42,1,2,1.03
42,2,1,-1.03
42,2,1,1.11E-05
42,1,2,-1.11E-05
43,1,2,1.03
43,2,1,-1.03
43,2,1,1.11E-05
43,1,2,-1.11E-05
44,1,2,1.03
44,2,1,-1.03
44,2,1,1.11E-05
44,1,2,-1.11E-05
45,1,2,1.03
45,2,1,-1.03
45,2,1,1.11E-05
45,1,2,-1.11E-05
46,1,2,1.03
46,2,1,-1.03
46,2,1,1.11E-05
46,1,2,-1.11E-05
47,1,2,1.03
47,2,1,-1.03
47,2,1,1.11E-05
47,1,2,-1.11E-05
49,1,2,1.04E+00
49,2,1,-1.04E+00
49,2,1,3.70E-08
49,1,2,-3.70E-08
50,1,2,1.04E+00
50,2,1,-1.04E+00
50,2,1,3.70E-08
50,1,2,-3.70E-08
51,1,2,1.04E+00
51,2,1,-1.04E+00
51,2,1,3.70E-08
51,1,2,-3.70E-08
52,1,2,1.04E+00
52,2,1,-1.04E+00
52,2,1,3.70E-08
52,1,2,-3.70E-08
53,1,2,1.04E+00
53,2,1,-1.04E+00
53,2,1,3.70E-08
53,1,2,-3.70E-08
54,1,2,1.04E+00
54,2,1,-1.04E+00
54,2,1,3.70E-08
54,1,2,-3.70E-08
-999,,,
