SV,Compartment,Boundary Value
1,1,-999
1,2,-999
1,3,-999
1,4,-999
1,5,-999
1,6,-999
1,7,-999
1,8,-999
1,9,-999
1,10,-999
1,11,-999
1,12,-999
1,13,-999
1,14,-999
1,15,-999
1,16,-999
1,17,-999
1,18,-999
1,19,-999
1,20,-999
1,21,-999
1,22,-999
1,23,-999
1,24,-999
1,25,-999
1,26,-999
1,27,-999
1,28,-999
1,29,-999
1,30,-999
1,31,-999
1,32,-999
1,33,-999
1,34,-999
1,35,-999
1,36,0
1,37,0
1,38,0
1,39,-999
1,40,-999
1,41,-999
1,42,-999
1,43,-999
1,44,-999
1,45,-999
1,46,-999
1,47,-999
1,48,0
1,49,-999
1,50,-999
1,51,-999
1,52,-999
1,53,-999
1,54,-999
1,55,0
1,56,0
2,1,-999
2,2,-999
2,3,-999
2,4,-999
2,5,-999
2,6,-999
2,7,-999
2,8,-999
2,9,-999
2,10,-999
2,11,-999
2,12,-999
2,13,-999
2,14,-999
2,15,-999
2,16,-999
2,17,-999
2,18,-999
2,19,-999
2,20,-999
2,21,-999
2,22,-999
2,23,-999
2,24,-999
2,25,-999
2,26,-999
2,27,-999
2,28,-999
2,29,-999
2,30,-999
2,31,-999
2,32,-999
2,33,-999
2,34,-999
2,35,-999
2,36,0
2,37,0
2,38,0
2,39,-999
2,40,-999
2,41,-999
2,42,-999
2,43,-999
2,44,-999
2,45,-999
2,46,-999
2,47,-999
2,48,0
2,49,-999
2,50,-999
2,51,-999
2,52,-999
2,53,-999
2,54,-999
2,55,0
2,56,0
